timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
264226.0,0.22,-0.97,0.06,6.53,3.42,-5.31
264236.0,0.22,-0.98,0.07,6.96,3.72,-5.49
264246.0,0.22,-0.98,0.07,6.47,3.36,-4.58
264256.0,0.23,-0.97,0.06,6.9,3.54,-5.07
264266.0,0.22,-0.98,0.06,7.39,3.36,-5.37
264276.0,0.23,-0.97,0.06,6.71,3.3,-4.94
264286.0,0.22,-0.98,0.07,6.35,3.17,-5.19
264296.0,0.23,-0.97,0.07,6.9,3.42,-5.13
264306.0,0.22,-0.98,0.05,6.41,3.72,-4.94
264316.0,0.23,-0.97,0.05,7.08,3.3,-6.1
264326.0,0.23,-0.98,0.07,6.9,3.48,-4.76
264336.0,0.21,-0.97,0.07,6.84,3.66,-5.49
264346.0,0.22,-0.97,0.06,7.14,3.66,-6.23
264356.0,0.22,-0.97,0.06,7.69,3.66,-5.74
264366.0,0.23,-0.96,0.07,7.32,3.48,-5.49
264376.0,0.24,-0.98,0.07,6.84,3.17,-5.49
264386.0,0.23,-0.97,0.06,7.2,3.23,-5.25
264396.0,0.23,-0.97,0.06,7.45,3.72,-5.13
264406.0,0.22,-0.97,0.06,7.32,3.48,-4.94
264416.0,0.23,-0.97,0.06,7.69,3.78,-5.49
264426.0,0.22,-0.96,0.06,6.71,3.97,-5.07
264436.0,0.21,-0.98,0.07,6.41,3.54,-5.37
264446.0,0.23,-0.97,0.06,7.02,3.3,-5.31
264456.0,0.23,-0.97,0.06,7.51,3.54,-5.25
264466.0,0.23,-0.97,0.07,7.45,3.11,-5.49
264476.0,0.22,-0.97,0.08,7.57,2.81,-5.19
264486.0,0.22,-0.97,0.07,7.02,3.42,-5.25
264496.0,0.22,-0.97,0.07,6.29,2.81,-4.94
264506.0,0.22,-0.98,0.08,7.14,3.78,-5.19
264516.0,0.22,-0.97,0.06,7.14,3.42,-4.88
264526.0,0.22,-0.98,0.06,6.59,2.93,-4.58
264536.0,0.22,-0.98,0.06,6.96,3.17,-4.64
264546.0,0.22,-0.97,0.07,7.14,3.23,-4.82
264556.0,0.22,-0.97,0.06,7.08,3.48,-5.43
264566.0,0.23,-0.96,0.06,7.14,3.66,-5.07
264576.0,0.23,-0.97,0.06,6.9,3.17,-5.0
264586.0,0.22,-0.97,0.06,6.41,3.54,-4.94
264596.0,0.23,-0.97,0.06,7.39,3.91,-5.55
264606.0,0.23,-0.97,0.05,7.02,3.23,-5.68
264616.0,0.23,-0.98,0.05,7.14,3.48,-5.37
264626.0,0.23,-0.98,0.06,7.57,3.54,-5.25
264636.0,0.22,-0.98,0.07,7.63,3.6,-5.55
264646.0,0.23,-0.96,0.06,6.84,3.23,-5.31
264656.0,0.22,-0.98,0.07,6.9,3.66,-5.31
264666.0,0.21,-0.98,0.07,7.57,3.6,-5.62
264676.0,0.22,-0.97,0.06,6.9,2.62,-5.43
264686.0,0.23,-0.97,0.06,7.39,3.42,-5.43
264696.0,0.23,-0.97,0.07,7.57,3.23,-5.25
264706.0,0.23,-0.98,0.06,7.2,3.6,-5.43
264716.0,0.23,-0.98,0.06,7.45,3.36,-4.7
264726.0,0.23,-0.97,0.07,7.08,3.54,-5.25
264736.0,0.22,-0.97,0.06,7.51,3.54,-5.13
264746.0,0.22,-0.97,0.07,7.2,3.11,-5.37
264756.0,0.22,-0.97,0.06,7.81,3.6,-5.49
264766.0,0.22,-0.97,0.06,7.14,3.78,-5.43
264776.0,0.23,-0.98,0.06,7.14,3.6,-5.0
264786.0,0.22,-0.96,0.06,7.32,3.48,-5.68
264796.0,0.23,-0.98,0.06,7.57,3.36,-5.68
264806.0,0.22,-0.97,0.07,7.14,3.3,-5.31
264816.0,0.21,-0.98,0.06,7.26,2.93,-4.82
264826.0,0.22,-0.98,0.06,7.26,3.48,-5.0
264836.0,0.22,-0.97,0.06,7.45,3.78,-5.43
264846.0,0.22,-0.99,0.06,8.0,3.66,-5.43
264856.0,0.22,-0.98,0.06,6.77,3.3,-5.19
264866.0,0.23,-0.97,0.07,7.69,3.78,-4.7
264876.0,0.22,-0.97,0.07,6.77,3.72,-4.94
264886.0,0.22,-0.98,0.06,7.51,3.54,-5.07
264896.0,0.22,-0.97,0.07,7.26,4.03,-5.74
264906.0,0.23,-0.96,0.06,6.77,3.66,-5.62
264916.0,0.21,-0.98,0.06,7.39,4.09,-5.31
264926.0,0.23,-0.98,0.06,7.51,3.66,-5.13
264936.0,0.23,-0.97,0.06,6.1,3.11,-5.0
264946.0,0.22,-0.98,0.07,7.2,3.54,-5.31
264956.0,0.22,-0.97,0.06,7.02,3.3,-5.19
264966.0,0.23,-0.98,0.06,7.14,3.3,-5.25
264976.0,0.23,-0.97,0.06,7.32,3.66,-5.19
264986.0,0.22,-0.98,0.06,7.14,3.36,-5.13
264996.0,0.23,-0.97,0.06,7.57,3.17,-4.7
265006.0,0.23,-0.97,0.07,7.45,3.36,-5.07
265016.0,0.22,-0.98,0.06,6.71,3.48,-4.88
265026.0,0.22,-0.98,0.07,6.59,3.05,-4.58
265036.0,0.23,-0.98,0.07,7.39,3.48,-5.55
265046.0,0.22,-0.97,0.05,6.65,2.93,-5.07
265056.0,0.22,-0.97,0.07,7.14,3.23,-5.0
265066.0,0.22,-0.98,0.07,6.96,3.23,-5.49
265076.0,0.22,-0.97,0.07,7.02,3.97,-5.43
265086.0,0.21,-0.97,0.06,7.45,3.23,-5.55
265096.0,0.23,-0.97,0.07,7.08,3.54,-4.88
265106.0,0.22,-0.98,0.07,7.81,3.91,-5.31
265116.0,0.22,-0.97,0.06,7.2,3.36,-5.37
265126.0,0.22,-0.99,0.07,6.96,2.81,-5.0
265136.0,0.21,-0.98,0.06,7.02,3.48,-5.49
265146.0,0.23,-0.99,0.06,8.0,4.03,-5.68
265156.0,0.23,-0.97,0.07,7.39,3.78,-5.68
265166.0,0.23,-0.98,0.06,7.39,3.54,-5.43
